MODELO;DESCRIPCION;;;CLASE;DESCRIPCIÓN
K460 CB 6X2*4 AC 12.7 3P 6X2 TA DIESEL;Vehículo otro vehículo, motor 460L, 3 puertas, tracción 6X2, combustible diésel.;;;;
FA 814 AC 3.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 814L, 2 puertas, tracción 4X2, combustible diésel.;;;;
KLQ6852 AC 4.5 1P 4X2 TM DIESEL;Vehículo otro vehículo, motor 6852L, 1 puertas, tracción 4X2, combustible diésel.;;;;
PILOT AC 3.5 5P 4X4 TA;Vehículo otro vehículo, motor 3.5L, 5 puertas, tracción 4X4.;;;;
CANTER FE73PE6SLNRA AC 3.9 2P 4X2 TM DIESEL CN;Vehículo otro vehículo, motor 73L, 73 puertas, tracción 4X2, combustible diésel.;;;;
FORTUNER AC 2.4 5P 4X2 TA DIESEL;Vehículo otro vehículo, motor 2.4L, 5 puertas, tracción 4X2, combustible diésel.;;;;
V60 CROSS COUNTRY AC 2.0 5P 4X4 TA;Vehículo otro vehículo, motor 60L, 5 puertas, tracción 4X4.;;;;
R 1300 GS ADVENTURE;Vehículo otro vehículo, motor 1300L.;;;;
Q3 SPORTBACK TFSI F3NACX AC 1.4 5P 4X2 TA;Vehículo otro vehículo, motor 3L, 5 puertas, tracción 4X2.;;;;
SANTA CRUZ SEL AC 2.5 CD 4X2 TA;Vehículo otro vehículo, motor 2.5L, tracción 4X2.;;;;
GLE 350 AC 2.0 5P 4X2 TA;Vehículo otro vehículo, motor 350L, 5 puertas, tracción 4X2.;;;;
XZU710L-WKFRL3 AC 4.0 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 710L, 2 puertas, tracción 4X2, combustible diésel.;;;;
Q3 TFSI AC 2.0 5P 4X4 TA;Vehículo otro vehículo, motor 3L, 5 puertas, tracción 4X4.;;;;
DY250 GP-1 R;Vehículo otro vehículo, motor 250L.;;;;
EUROCARGO ML180E28 AC 5.9 2P 4X2 TM DIESEL CN;Vehículo otro vehículo, motor 180L, 2 puertas, tracción 4X2, combustible diésel.;;;;
CN SYZ420C-8S AC 12.12 2P 8X4 TM DIESEL;Vehículo otro vehículo, motor 420L, 2 puertas, tracción 8X4, combustible diésel.;;;;
AK8JRSA CON RETARD AC 7.7 1P 4X2 TM DIESEL;Vehículo otro vehículo, motor 8L, 1 puertas, tracción 4X2, combustible diésel.;;;;
KWID INTENS AC 1.0 5P 4X2 TM;Vehículo otro vehículo, motor 1.0L, 5 puertas, tracción 4X2.;;;;
Q7 55 TFSI SLINE QUATTRO 4MQCX2 AC 3.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 7L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
CHIEF 3.0;Vehículo otro vehículo, motor 3.0L.;;;;
FIV1PHX2LNRA AC 3.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1L, 1 puertas, tracción 4X2, combustible diésel.;;;;
CHALLENGER GT AC 3.6 2P 4X2 TA;Vehículo otro vehículo, motor 3.6L, 2 puertas, tracción 4X2.;;;;
CWE330 LWB FURGON REFRIGERADO AC 7.7 2P 6X4 TM DIESEL;Vehículo otro vehículo, motor 330L, 2 puertas, tracción 6X4, combustible diésel.;;;;
XY300-11;Vehículo otro vehículo, motor 300L.;;;;
ESCAPE ST AC 2.5 5P 4X2 TA HYBRID;Vehículo otro vehículo, motor 2.5L, 5 puertas, tracción 4X2, sistema híbrido.;;;;
M440I XDRIVE AC 3.0 2P 4X4 TA;Vehículo otro vehículo, motor 440L, 2 puertas, tracción 4X4.;;;;
EQ1051S3CDF AC 2.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1051L, 2 puertas, tracción 4X2, combustible diésel.;;;;
CHIEF 2.5;Vehículo otro vehículo, motor 2.5L.;;;;
GRIZZLY 700;Vehículo otro vehículo, motor 700L.;;;;
EXPLORER PLATINUM AC 2.3 5P 4X4 TA;Vehículo otro vehículo, motor 2.3L, 5 puertas, tracción 4X4.;;;;
4 RUNNER AC 4.0 5P 4X4 TA;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X4.;;;;
FC9JL7Z-BB9HFAA 5.1 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 9L, 2 puertas, tracción 4X2, combustible diésel.;;;;
DY125 CX7 EVO;Vehículo motocicleta, motor 125L.;;;;
RENEGADE LONGITUDE T270 AC 1.3 5P 4X2 TX;Vehículo otro vehículo, motor 270L, 5 puertas, tracción 4X2.;;;;
SAVEIRO CABINA DOBLE COMFORTLINE AC 1.6 CD 4X2 TM;Vehículo otro vehículo, motor 1.6L, tracción 4X2.;;;;
SORENTO AC 2.5 5P 4X4 TA;Vehículo otro vehículo, motor 2.5L, 5 puertas, tracción 4X4.;;;;
SEQUOIA TRD PRO AC 3.4 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 3.4L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
SAVEIRO CABINA DOBLE EXTREME AC 1.6 CD 4X2 TM;Vehículo otro vehículo, motor 1.6L, tracción 4X2.;;;;
SAVEIRO CABINA SIMPLE TRENDLINE AC 1.6 CS 4X2 TM;Vehículo otro vehículo, motor 1.6L, tracción 4X2.;;;;
T-CROSS HIGHLINE AC 1.6 5P 4X2 TA;Vehículo otro vehículo, motor 1.6L, 5 puertas, tracción 4X2.;;;;
T-CROSS TRENDLINE AC 1.6 5P 4X2 TM;Vehículo otro vehículo, motor 1.6L, 5 puertas, tracción 4X2.;;;;
TD300RAG;Vehículo otro vehículo, motor 300L.;;;;
DEFENDER 90 X-DYNAMIC AC 3.0 3P 4X4 TA HYBRID;Vehículo otro vehículo, motor 90L, 3 puertas, tracción 4X4, sistema híbrido.;;;;
F-450 XL AC 6.7 CD 4X4 TA DIESEL;Vehículo otro vehículo, motor 450L, tracción 4X4, combustible diésel.;;;;
RAV4 URBAN AC 2.0 5P 4X2 TM;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X2.;;;;
CRF1100D;Vehículo otro vehículo, motor 1100L.;;;;
RM1ESSU-XSE 12.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1L, 2 puertas, tracción 4X2, combustible diésel.;;;;
XZU720L-WKFQL3 AC 4.0 2P 4X2 TM DIESEL;Vehículo camión o microbús, motor 720L, 2 puertas, tracción 4X2, combustible diésel.;;;;
XZU710L-ZKFML3 AC 4.0 4P 4X2 TM DIESEL;Vehículo camión o microbús, motor 710L, 4 puertas, tracción 4X2, combustible diésel.;;;;
ASCENT AC 2.4 5P 4X4 TA;Vehículo otro vehículo, motor 2.4L, 5 puertas, tracción 4X4.;;;;
DFAC800 CA96-401 AC 3.8 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 800L, 2 puertas, tracción 4X2, combustible diésel.;;;;
RAV4 FULL D-LUX CVT AC 2.0 5P 4X2 TA;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X2.;;;;
HOWO ZZ3257N3447C1 AC 10.5 2P 6X4 TM DIESEL;Vehículo otro vehículo, motor 3257L, 2 puertas, tracción 6X4, combustible diésel.;;;;
O 500 RSD 2442 12.0 3P 6X2 TA DIESEL;Vehículo otro vehículo, motor 500L, 3 puertas, tracción 6X2, combustible diésel.;;;;
VENZA XLE AC 2.5 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 2.5L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
OUTLANDER BK EDITION AC 2.5 5P 4X2 TA;Vehículo otro vehículo, motor 2.5L, 5 puertas, tracción 4X2.;;;;
CB100;Vehículo otro vehículo, motor 100L.;;;;
DK150-S;Vehículo otro vehículo, motor 150L.;;;;
CN N822 4 AC 2.8 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 822L, 2 puertas, tracción 4X2, combustible diésel.;;;;
ATLAS CROSS SPORT S 4MOTION AC 2.0 5P 4X4 TA;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X4.;;;;
HAVAL H2 JOLION LUXURY AC 1.5 5P 4X2 TA HYBRID;Vehículo otro vehículo, motor 2L, 5 puertas, tracción 4X2, sistema híbrido.;;;;
CN N822 3.45 AC 2.8 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 822L, 2 puertas, tracción 4X2, combustible diésel.;;;;
310S AC 1.5 5P 4X2 TM;Vehículo otro vehículo, motor 310L, 5 puertas, tracción 4X2.;;;;
K1-3800 AC 3.0 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1L, 2 puertas, tracción 4X2, combustible diésel.;;;;
310S AC 1.5 5P 4X2 TA;Vehículo otro vehículo, motor 310L, 5 puertas, tracción 4X2.;;;;
AK8JRSA 7.7 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 8L, 2 puertas, tracción 4X2, combustible diésel.;;;;
TUNLAND G7 LT AC 2.0 CD 4X2 TM DIESEL;Vehículo otro vehículo, motor 7L, tracción 4X2, combustible diésel.;;;;
ARTURA SPIDER AC 3.0 2P 4X2 TA HYBRID;Vehículo otro vehículo, motor 3.0L, 2 puertas, tracción 4X2, sistema híbrido.;;;;
HFC1037DKST LUXURY AC 2.0 CD 4X4 TM DIESEL;Vehículo camión o microbús, motor 1037L, tracción 4X4, combustible diésel.;;;;
Q7 AC 3.0 5P 4X4 TA DIESEL;Vehículo otro vehículo, motor 7L, 5 puertas, tracción 4X4, combustible diésel.;;;;
XTZ125E;Vehículo motocicleta, motor 125L.;;;;
XPLORER II;Vehículo otro vehículo.;;;;
E5 AC 4P 4X2 TA EV;Vehículo otro vehículo, motor 5L, 4 puertas, tracción 4X2.;;;;
PALADIN AC 2.0 5P 4X4 TA;Vehículo otro vehículo, motor 2.0L, 5 puertas, tracción 4X4.;;;;
Q5 SPB ADVANCED 45 TFSI QUATTRO STRONIC FYTB3Y AC 2.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 5L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
ROCKY MOUNTAIN 150;Vehículo otro vehículo, motor 150L.;;;;
CR-V LX AC 1.5 5P 4X4 TA;Vehículo otro vehículo, motor 1.5L, 5 puertas, tracción 4X4.;;;;
RS 457;Vehículo otro vehículo, motor 457L.;;;;
CN CA1180P28K1L4EA80 180 AC 6.7 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1180L, 1180 puertas, tracción 4X2, combustible diésel.;;;;
MTN320-A;Vehículo otro vehículo, motor 320L.;;;;
XC115B;Vehículo otro vehículo, motor 115L.;;;;
YB125;Vehículo motocicleta, motor 125L.;;;;
TUNLAND G7 AC 2.0 CD 4X4 TA DIESEL;Vehículo otro vehículo, motor 7L, tracción 4X4, combustible diésel.;;;;
Q5 ADVANCED 45 TFSI QUATTRO STRONIC FYGB3Y AC 2.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 5L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
SRX250;Vehículo otro vehículo, motor 250L.;;;;
AK8JRSA 7.7 1P 4X2 TM DIESEL;Vehículo otro vehículo, motor 8L, 1 puertas, tracción 4X2, combustible diésel.;;;;
GRAND CHEROKEE AC 3.6 5P 4X4 TA;Vehículo otro vehículo, motor 3.6L, 5 puertas, tracción 4X4.;;;;
CR-V AC 2.4 5P 4X4 TA;Vehículo otro vehículo, motor 2.4L, 5 puertas, tracción 4X4.;;;;
CFORCE 625 S;Vehículo otro vehículo, motor 625L.;;;;
COROLLA AC 1.8 5P 4X2 TA HYBRID;Vehículo otro vehículo, motor 1.8L, 5 puertas, tracción 4X2, sistema híbrido.;;;;
200AT;Vehículo otro vehículo, motor 200L.;;;;
150TR;Vehículo otro vehículo, motor 150L.;;;;
MAMMUT 200;Vehículo otro vehículo, motor 200L.;;;;
XRE300 SAHARA;Vehículo otro vehículo, motor 300L.;;;;
NMR 513 EIII 3.0 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 513L, 2 puertas, tracción 4X2, combustible diésel.;;;;
250RE;Vehículo otro vehículo, motor 250L.;;;;
X3000 SX5255GJB6R364C AC 10.8 2P 6X4 TM DIESEL;Vehículo otro vehículo, motor 3000L, 2 puertas, tracción 6X4, combustible diésel.;;;;
ROGUE AC 1.5 5P 4X2 TA;Vehículo otro vehículo, motor 1.5L, 5 puertas, tracción 4X2.;;;;
DR160S;Vehículo otro vehículo, motor 160L.;;;;
HD 78 BARE OB 3.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 78L, 2 puertas, tracción 4X2, combustible diésel.;;;;
DL160;Vehículo otro vehículo, motor 160L.;;;;
MR250;Vehículo otro vehículo, motor 250L.;;;;
4000SE AC 8.0 2P 4X2 TA DIESEL;Vehículo otro vehículo, motor 4000L, 2 puertas, tracción 4X2, combustible diésel.;;;;
SK200-3;Vehículo otro vehículo, motor 200L.;;;;
4 RUNNER SR5 PRE AC 4.0 5P 4X4 TA;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X4.;;;;
CN N822 5 AC 2.8 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 822L, 2 puertas, tracción 4X2, combustible diésel.;;;;
FRONX ISG GLX AC 1.5 5P 4X2 TA HYBRID;Vehículo otro vehículo, motor 1.5L, 5 puertas, tracción 4X2, sistema híbrido.;;;;
TUNDRA CREWMAX AC 5.7 CD 4X4 TA;Vehículo otro vehículo, motor 5.7L, tracción 4X4.;;;;
320 D AC 2.0 4P 4X2 TA DIESEL;Vehículo otro vehículo, motor 320L, 4 puertas, tracción 4X2, combustible diésel.;;;;
SELTOS X-LINE AC 1.6 5P 4X4 TA;Vehículo otro vehículo, motor 1.6L, 5 puertas, tracción 4X4.;;;;
CX-7 AC 2.2 5P 4X2 TM DIESEL;Vehículo otro vehículo, motor 7L, 5 puertas, tracción 4X2, combustible diésel.;;;;
EQ1180GZ5DJ-K21B5-AH-002JY AC 5.9 2P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1180L, 2 puertas, tracción 4X2, combustible diésel.;;;;
XTERRA AC 4.0 5P 4X4 TA;Vehículo otro vehículo, motor 4.0L, 5 puertas, tracción 4X4.;;;;
CRETA GRAND AC 2.0 5P 4X2 TM;Vehículo otro vehículo, motor 2.0L, 5 puertas, tracción 4X2.;;;;
ESCAPE TITANIUM AC 2.5 5P 4X2 TA HYBRID;Vehículo otro vehículo, motor 2.5L, 5 puertas, tracción 4X2, sistema híbrido.;;;;
M1R 250;Vehículo otro vehículo, motor 1L.;;;;
F150 XLT HEV AC 3.5 CD 4X4 TA HYBRID;Vehículo otro vehículo, motor 150L, tracción 4X4, sistema híbrido.;;;;
F150 LARIAT HEV AC 3.5 CD 4X4 TA HYBRID;Vehículo otro vehículo, motor 150L, tracción 4X4, sistema híbrido.;;;;
BOXER AC 2.2 5P 4X2 TM DIESEL;Vehículo otro vehículo, motor 2.2L, 5 puertas, tracción 4X2, combustible diésel.;;;;
VOLKSBUS 17.260 OD 6.9 3P 4X2 TM DIESEL;Vehículo otro vehículo, motor 17.260L, 3 puertas, tracción 4X2, combustible diésel.;;;;
COOLRAY CONFORT I AC 1.5 5P 4X2 TA;Vehículo otro vehículo, motor 1.5L, 5 puertas, tracción 4X2.;;;;
RAV4 FULL CVT AC 2.0 5P 4X2 TA;Vehículo otro vehículo, motor 4L, 5 puertas, tracción 4X2.;;;;
COMPASS LIMITED AC 1.3 5P 4X2 TA;Vehículo otro vehículo, motor 1.3L, 5 puertas, tracción 4X2.;;;;
COMPASS LONGITUDE AC 1.3 5P 4X2 TA;Vehículo otro vehículo, motor 1.3L, 5 puertas, tracción 4X2.;;;;
NORDEN 901;Vehículo otro vehículo, motor 901L.;;;;
NORDEN 901 EXPEDITION;Vehículo otro vehículo, motor 901L.;;;;
FC 450 ROCKSTAR EDITION;Vehículo otro vehículo, motor 450L.;;;;
GLC 300 AMG LINE PLUS AC 2.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 300L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
IX3 M SPORT AC 5P 4X2 TA EV;Vehículo otro vehículo, motor 3L, 5 puertas, tracción 4X2.;;;;
DY200 GTR;Vehículo otro vehículo, motor 200L.;;;;
FE 350;Vehículo otro vehículo, motor 350L.;;;;
RM1ESSU-XSE AC 12.9 1P 4X2 TM DIESEL;Vehículo otro vehículo, motor 1L, 1 puertas, tracción 4X2, combustible diésel.;;;;
GLE 450 COUPE AC 3.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 450L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
GRAND CHEROKEE LAREDO AC 3.6 5P 4X4 TA;Vehículo otro vehículo, motor 3.6L, 5 puertas, tracción 4X4.;;;;
GLE 53 AMG COUPE AC 3.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 53L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
CN SYZ316C-8S AC 12.1 2P 6X4 TM DIESEL;Vehículo otro vehículo, motor 316L, 2 puertas, tracción 6X4, combustible diésel.;;;;
GLC 43 AMG COUPE AC 2.0 5P 4X4 TA HYBRID;Vehículo otro vehículo, motor 43L, 5 puertas, tracción 4X4, sistema híbrido.;;;;
YZ450F;Vehículo otro vehículo, motor 450L.;;;;
TIGER 800 XCA;Vehículo otro vehículo, motor 800L.;;;;
